text,intent,entities
Temperature comparison between Amsterdam and Moscow,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Moscow'}"
Compare current conditions in San Francisco and Toronto,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Toronto'}"
Compare current conditions in Tokyo and Amsterdam,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Amsterdam'}"
How does the weather in Dubai compare to Rome?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Rome'}"
How do temperatures compare in New York and Toronto?,weather_comparison,"{'location1': 'New York', 'location2': 'Toronto'}"
How's the weather different in Paris vs current location?,weather_comparison,"{'location1': 'Paris', 'location2': 'current location'}"
"Which city has better weather, Singapore or San Francisco?",weather_comparison,"{'location1': 'Singapore', 'location2': 'San Francisco'}"
How does the weather in Dubai compare to current location?,weather_comparison,"{'location1': 'Dubai', 'location2': 'current location'}"
"Which city has better weather, Rome or Toronto?",weather_comparison,"{'location1': 'Rome', 'location2': 'Toronto'}"
How does the weather in Toronto compare to here?,weather_comparison,"{'location1': 'Toronto', 'location2': 'here'}"
Compare weather in Paris and Mumbai,weather_comparison,"{'location1': 'Paris', 'location2': 'Mumbai'}"
Compare weather in Mumbai and Sydney,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Sydney'}"
How do temperatures compare in my location and here?,weather_comparison,"{'location1': 'my location', 'location2': 'here'}"
"Which is colder, Berlin or New York?",weather_comparison,"{'location1': 'Berlin', 'location2': 'New York'}"
How's the weather different in Dubai vs Singapore?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Singapore'}"
Compare weather in London and my location,weather_comparison,"{'location1': 'London', 'location2': 'my location'}"
"Which is colder, Amsterdam or Mumbai?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Mumbai'}"
How cold is it in Seoul?,temperature_query,{'location': 'Seoul'}
Temperature comparison between Toronto and Singapore,weather_comparison,"{'location1': 'Toronto', 'location2': 'Singapore'}"
"Which city has better weather, here or Rome?",weather_comparison,"{'location1': 'here', 'location2': 'Rome'}"
How's the temperature in Singapore?,temperature_query,{'location': 'Singapore'}
Weather comparison between my location and Amsterdam,weather_comparison,"{'location1': 'my location', 'location2': 'Amsterdam'}"
"Which is warmer, Seoul or my location?",weather_comparison,"{'location1': 'Seoul', 'location2': 'my location'}"
How do temperatures compare in here and San Francisco?,weather_comparison,"{'location1': 'here', 'location2': 'San Francisco'}"
Weather comparison between Berlin and Paris,weather_comparison,"{'location1': 'Berlin', 'location2': 'Paris'}"
"Which city has better weather, Berlin or Moscow?",weather_comparison,"{'location1': 'Berlin', 'location2': 'Moscow'}"
What's the weather going to be like in San Francisco tomorrow?,weather_forecast,{'location': 'San Francisco'}
Will it drizzle in Mumbai?,precipitation_query,{'location': 'Mumbai'}
Compare temperatures in my location and Sydney,weather_comparison,"{'location1': 'my location', 'location2': 'Sydney'}"
Weather contrast between here and Mumbai,weather_comparison,"{'location1': 'here', 'location2': 'Mumbai'}"
Weather comparison: Paris versus Dubai,weather_comparison,"{'location1': 'Paris', 'location2': 'Dubai'}"
What's the weather going to be like this week in Seoul?,weather_forecast,{'location': 'Seoul'}
Weather comparison: Berlin versus Tokyo,weather_comparison,"{'location1': 'Berlin', 'location2': 'Tokyo'}"
"Which city has better weather, London or Toronto?",weather_comparison,"{'location1': 'London', 'location2': 'Toronto'}"
Can you tell me the weather in Mumbai?,current_weather,{'location': 'Mumbai'}
What's the weather right now in Dubai?,current_weather,{'location': 'Dubai'}
"Which is colder, Amsterdam or Rome?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Rome'}"
How do temperatures compare in London and my location?,weather_comparison,"{'location1': 'London', 'location2': 'my location'}"
Weather outlook for Sydney,weather_forecast,{'location': 'Sydney'}
"Which city has better weather, Berlin or my location?",weather_comparison,"{'location1': 'Berlin', 'location2': 'my location'}"
How does the weather in Tokyo compare to Amsterdam?,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Amsterdam'}"
Compare temperatures in New York and Singapore,weather_comparison,"{'location1': 'New York', 'location2': 'Singapore'}"
What's the weather going to be like in Seoul next week?,weather_forecast,{'location': 'Seoul'}
"Which is warmer, Amsterdam or Seoul?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Seoul'}"
"Which is warmer, Rome or Mumbai?",weather_comparison,"{'location1': 'Rome', 'location2': 'Mumbai'}"
Weather contrast between current location and Berlin,weather_comparison,"{'location1': 'current location', 'location2': 'Berlin'}"
"Which is colder, Berlin or my location?",weather_comparison,"{'location1': 'Berlin', 'location2': 'my location'}"
How does the weather in Tokyo compare to London?,weather_comparison,"{'location1': 'Tokyo', 'location2': 'London'}"
Compare temperatures in my location and Paris,weather_comparison,"{'location1': 'my location', 'location2': 'Paris'}"
How do temperatures compare in San Francisco and Paris?,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Paris'}"
Is it going to rain in London?,precipitation_query,{'location': 'London'}
How's the weather different in Toronto vs Seoul?,weather_comparison,"{'location1': 'Toronto', 'location2': 'Seoul'}"
Weather comparison: my location versus Singapore,weather_comparison,"{'location1': 'my location', 'location2': 'Singapore'}"
"Which is colder, Seoul or Moscow?",weather_comparison,"{'location1': 'Seoul', 'location2': 'Moscow'}"
"Which is colder, Toronto or Seoul?",weather_comparison,"{'location1': 'Toronto', 'location2': 'Seoul'}"
Compare current conditions in Sydney and Mumbai,weather_comparison,"{'location1': 'Sydney', 'location2': 'Mumbai'}"
What's the weather difference between San Francisco and current location?,weather_comparison,"{'location1': 'San Francisco', 'location2': 'current location'}"
"Which city has better weather, New York or Mumbai?",weather_comparison,"{'location1': 'New York', 'location2': 'Mumbai'}"
Will it snow in here tomorrow?,weather_forecast,{'location': 'here'}
"Which city has better weather, New York or here?",weather_comparison,"{'location1': 'New York', 'location2': 'here'}"
Temperature comparison between Paris and Seoul,weather_comparison,"{'location1': 'Paris', 'location2': 'Seoul'}"
Compare temperatures in Dubai and Singapore,weather_comparison,"{'location1': 'Dubai', 'location2': 'Singapore'}"
Temperature comparison between Sydney and London,weather_comparison,"{'location1': 'Sydney', 'location2': 'London'}"
Compare current conditions in Amsterdam and Moscow,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Moscow'}"
Compare weather in New York and here,weather_comparison,"{'location1': 'New York', 'location2': 'here'}"
"Which is colder, Toronto or London?",weather_comparison,"{'location1': 'Toronto', 'location2': 'London'}"
Weather comparison: Dubai versus Singapore,weather_comparison,"{'location1': 'Dubai', 'location2': 'Singapore'}"
How does the weather in Sydney compare to Toronto?,weather_comparison,"{'location1': 'Sydney', 'location2': 'Toronto'}"
Temperature comparison between New York and Mumbai,weather_comparison,"{'location1': 'New York', 'location2': 'Mumbai'}"
Temperature comparison between Mumbai and Sydney,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Sydney'}"
What's the temperature in Sydney?,current_weather,{'location': 'Sydney'}
Temperature comparison between Berlin and current location,weather_comparison,"{'location1': 'Berlin', 'location2': 'current location'}"
"Which is colder, Moscow or Singapore?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Singapore'}"
Weather difference between Berlin and Moscow,weather_comparison,"{'location1': 'Berlin', 'location2': 'Moscow'}"
Weather comparison between Seoul and Dubai,weather_comparison,"{'location1': 'Seoul', 'location2': 'Dubai'}"
Weather comparison: Moscow versus Berlin,weather_comparison,"{'location1': 'Moscow', 'location2': 'Berlin'}"
How cold is it in Amsterdam?,temperature_query,{'location': 'Amsterdam'}
