text,intent,entities
Compare temperatures in Tokyo and Mumbai,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Mumbai'}"
Compare current conditions in current location and Toronto,weather_comparison,"{'location1': 'current location', 'location2': 'Toronto'}"
"Which is colder, London or Mumbai?",weather_comparison,"{'location1': 'London', 'location2': 'Mumbai'}"
How does the weather in New York compare to Rome?,weather_comparison,"{'location1': 'New York', 'location2': 'Rome'}"
How's the weather today in Berlin?,current_weather,{'location': 'Berlin'}
"Which city has better weather, London or my location?",weather_comparison,"{'location1': 'London', 'location2': 'my location'}"
How does the weather in Singapore compare to Toronto?,weather_comparison,"{'location1': 'Singapore', 'location2': 'Toronto'}"
How's the weather different in London vs Amsterdam?,weather_comparison,"{'location1': 'London', 'location2': 'Amsterdam'}"
Compare current conditions in San Francisco and Toronto,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Toronto'}"
"Which is colder, Sydney or New York?",weather_comparison,"{'location1': 'Sydney', 'location2': 'New York'}"
What's the rain forecast for London?,precipitation_query,{'location': 'London'}
"Which city has better weather, Amsterdam or Sydney?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Sydney'}"
How's the weather different in Toronto vs Tokyo?,weather_comparison,"{'location1': 'Toronto', 'location2': 'Tokyo'}"
Rain forecast for Seoul,precipitation_query,{'location': 'Seoul'}
What's the weather difference between London and here?,weather_comparison,"{'location1': 'London', 'location2': 'here'}"
"Which city has better weather, Dubai or Rome?",weather_comparison,"{'location1': 'Dubai', 'location2': 'Rome'}"
Weather comparison between Toronto and Paris,weather_comparison,"{'location1': 'Toronto', 'location2': 'Paris'}"
Compare current conditions in Seoul and Toronto,weather_comparison,"{'location1': 'Seoul', 'location2': 'Toronto'}"
What's the rain forecast for Amsterdam?,precipitation_query,{'location': 'Amsterdam'}
Compare temperatures in San Francisco and Rome,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Rome'}"
Weather contrast between Mumbai and Paris,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Paris'}"
"Which is colder, Toronto or Mumbai?",weather_comparison,"{'location1': 'Toronto', 'location2': 'Mumbai'}"
Tell me about today's weather in Moscow,current_weather,{'location': 'Moscow'}
"Which is colder, San Francisco or Toronto?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'Toronto'}"
Temperature comparison between London and Rome,weather_comparison,"{'location1': 'London', 'location2': 'Rome'}"
How's the weather different in Toronto vs London?,weather_comparison,"{'location1': 'Toronto', 'location2': 'London'}"
Current weather conditions for my location,current_weather,{'location': 'my location'}
Compare current conditions in Mumbai and Toronto,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Toronto'}"
Compare temperatures in Singapore and current location,weather_comparison,"{'location1': 'Singapore', 'location2': 'current location'}"
"Which city has better weather, Moscow or Toronto?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Toronto'}"
How do temperatures compare in Mumbai and here?,weather_comparison,"{'location1': 'Mumbai', 'location2': 'here'}"
What's the current weather in Sydney?,current_weather,{'location': 'Sydney'}
Temperature comparison between Berlin and here,weather_comparison,"{'location1': 'Berlin', 'location2': 'here'}"
What's the chance of snow in Seoul?,precipitation_query,{'location': 'Seoul'}
What's the feels like temperature in Berlin?,temperature_query,{'location': 'Berlin'}
Weather contrast between Mumbai and Berlin,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Berlin'}"
"Which is warmer, Paris or Mumbai?",weather_comparison,"{'location1': 'Paris', 'location2': 'Mumbai'}"
Weather difference between Dubai and Paris,weather_comparison,"{'location1': 'Dubai', 'location2': 'Paris'}"
"Which is warmer, Dubai or Singapore?",weather_comparison,"{'location1': 'Dubai', 'location2': 'Singapore'}"
What's the weather difference between here and Toronto?,weather_comparison,"{'location1': 'here', 'location2': 'Toronto'}"
"Which is colder, Singapore or Rome?",weather_comparison,"{'location1': 'Singapore', 'location2': 'Rome'}"
How's the weather today in Paris?,current_weather,{'location': 'Paris'}
Weather comparison between Toronto and London,weather_comparison,"{'location1': 'Toronto', 'location2': 'London'}"
"Which is colder, Singapore or here?",weather_comparison,"{'location1': 'Singapore', 'location2': 'here'}"
Temperature comparison between Sydney and Tokyo,weather_comparison,"{'location1': 'Sydney', 'location2': 'Tokyo'}"
Weather contrast between Toronto and my location,weather_comparison,"{'location1': 'Toronto', 'location2': 'my location'}"
What's the weather like in San Francisco?,current_weather,{'location': 'San Francisco'}
"Which is warmer, Moscow or Paris?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Paris'}"
Weather comparison between here and Berlin,weather_comparison,"{'location1': 'here', 'location2': 'Berlin'}"
Temperature comparison between London and Berlin,weather_comparison,"{'location1': 'London', 'location2': 'Berlin'}"
Temperature comparison between Toronto and Berlin,weather_comparison,"{'location1': 'Toronto', 'location2': 'Berlin'}"
What's the feels like temperature in Moscow?,temperature_query,{'location': 'Moscow'}
Compare temperatures in my location and Mumbai,weather_comparison,"{'location1': 'my location', 'location2': 'Mumbai'}"
"Which city has better weather, Toronto or Sydney?",weather_comparison,"{'location1': 'Toronto', 'location2': 'Sydney'}"
Weather contrast between Moscow and current location,weather_comparison,"{'location1': 'Moscow', 'location2': 'current location'}"
How does the weather in Toronto compare to London?,weather_comparison,"{'location1': 'Toronto', 'location2': 'London'}"
Temperature comparison between my location and Sydney,weather_comparison,"{'location1': 'my location', 'location2': 'Sydney'}"
"Which is colder, San Francisco or Moscow?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'Moscow'}"
Weather comparison between Sydney and Rome,weather_comparison,"{'location1': 'Sydney', 'location2': 'Rome'}"
Weather contrast between here and Amsterdam,weather_comparison,"{'location1': 'here', 'location2': 'Amsterdam'}"
"Which city has better weather, Berlin or here?",weather_comparison,"{'location1': 'Berlin', 'location2': 'here'}"
Weather comparison: Dubai versus Toronto,weather_comparison,"{'location1': 'Dubai', 'location2': 'Toronto'}"
How do temperatures compare in Dubai and my location?,weather_comparison,"{'location1': 'Dubai', 'location2': 'my location'}"
How warm is it in current location?,temperature_query,{'location': 'current location'}
"Which is colder, Mumbai or Tokyo?",weather_comparison,"{'location1': 'Mumbai', 'location2': 'Tokyo'}"
"Which is warmer, Tokyo or Paris?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'Paris'}"
What's it like outside in Mumbai?,current_weather,{'location': 'Mumbai'}
How do temperatures compare in my location and Paris?,weather_comparison,"{'location1': 'my location', 'location2': 'Paris'}"
"Which city has better weather, San Francisco or Tokyo?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'Tokyo'}"
Weather comparison between San Francisco and Toronto,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Toronto'}"
Compare current conditions in Seoul and San Francisco,weather_comparison,"{'location1': 'Seoul', 'location2': 'San Francisco'}"
Weather comparison between current location and Singapore,weather_comparison,"{'location1': 'current location', 'location2': 'Singapore'}"
Can you tell me the weather in London?,current_weather,{'location': 'London'}
Compare current conditions in Moscow and Mumbai,weather_comparison,"{'location1': 'Moscow', 'location2': 'Mumbai'}"
Weather contrast between Mumbai and Rome,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Rome'}"
How's the temperature in my location?,temperature_query,{'location': 'my location'}
Temperature comparison between Amsterdam and New York,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'New York'}"
Weather comparison between my location and Singapore,weather_comparison,"{'location1': 'my location', 'location2': 'Singapore'}"
Compare current conditions in my location and Mumbai,weather_comparison,"{'location1': 'my location', 'location2': 'Mumbai'}"
"Which city has better weather, my location or Toronto?",weather_comparison,"{'location1': 'my location', 'location2': 'Toronto'}"
How does the weather in here compare to London?,weather_comparison,"{'location1': 'here', 'location2': 'London'}"
Compare temperatures in San Francisco and Amsterdam,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Amsterdam'}"
"Which is colder, Dubai or Amsterdam?",weather_comparison,"{'location1': 'Dubai', 'location2': 'Amsterdam'}"
Temperature comparison between Toronto and Seoul,weather_comparison,"{'location1': 'Toronto', 'location2': 'Seoul'}"
What's the weather difference between San Francisco and Rome?,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Rome'}"
Weather contrast between New York and Seoul,weather_comparison,"{'location1': 'New York', 'location2': 'Seoul'}"
Weather difference between Moscow and my location,weather_comparison,"{'location1': 'Moscow', 'location2': 'my location'}"
Compare current conditions in here and London,weather_comparison,"{'location1': 'here', 'location2': 'London'}"
Weather comparison between Sydney and Paris,weather_comparison,"{'location1': 'Sydney', 'location2': 'Paris'}"
Compare current conditions in London and San Francisco,weather_comparison,"{'location1': 'London', 'location2': 'San Francisco'}"
Weather comparison between Berlin and London,weather_comparison,"{'location1': 'Berlin', 'location2': 'London'}"
How does the weather in Toronto compare to current location?,weather_comparison,"{'location1': 'Toronto', 'location2': 'current location'}"
How does the weather in Dubai compare to Mumbai?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Mumbai'}"
Tell me about today's weather in Dubai,current_weather,{'location': 'Dubai'}
Tell me about today's weather in Singapore,current_weather,{'location': 'Singapore'}
Weather difference between Seoul and London,weather_comparison,"{'location1': 'Seoul', 'location2': 'London'}"
Weather comparison between Berlin and Dubai,weather_comparison,"{'location1': 'Berlin', 'location2': 'Dubai'}"
Compare weather in Berlin and San Francisco,weather_comparison,"{'location1': 'Berlin', 'location2': 'San Francisco'}"
How do temperatures compare in Sydney and Seoul?,weather_comparison,"{'location1': 'Sydney', 'location2': 'Seoul'}"
How cold is it in Singapore?,temperature_query,{'location': 'Singapore'}
How's the weather today in Tokyo?,current_weather,{'location': 'Tokyo'}
Weather comparison between Dubai and Toronto,weather_comparison,"{'location1': 'Dubai', 'location2': 'Toronto'}"
Weather difference between Rome and London,weather_comparison,"{'location1': 'Rome', 'location2': 'London'}"
Compare temperatures in London and current location,weather_comparison,"{'location1': 'London', 'location2': 'current location'}"
Temperature comparison between current location and Moscow,weather_comparison,"{'location1': 'current location', 'location2': 'Moscow'}"
Will it rain tomorrow in Mumbai?,weather_forecast,{'location': 'Mumbai'}
Weather contrast between London and Seoul,weather_comparison,"{'location1': 'London', 'location2': 'Seoul'}"
What's the weather going to be like in Berlin next week?,weather_forecast,{'location': 'Berlin'}
